source_name,matched_shop_id,matched_shop_name,source_file,target_path,result,error_message,notes
怡廷居家護理所,tzm0065,怡廷居家護理所,怡廷居家護理所.jpg,pics/logo/tzm0065.webp,imported,,
愛學館,tzm0020,愛學館個別指導-竹南校,愛學館.jpg,pics/logo/tzm0020.webp,imported,,同一 LOGO 套用到多筆相同/分店資料
愛學館,tzm0043,愛學館-竹南校,愛學館.jpg,pics/logo/tzm0043.webp,imported,,同一 LOGO 套用到多筆相同/分店資料
手機家族,tzm0022,手機家族,手機家族.jpg,pics/logo/tzm0022.webp,imported,,
明儒老師,,,明儒老師.jpg,,skipped_not_in_shops,,未對應目前 shops.json 店家，未自動匯入
桃喜甜幸 四川冰粉,tzm0059,桃喜甜幸 正宗四川冰粉/特色甜品,桃喜甜幸 四川冰粉.jpg,pics/logo/tzm0059.webp,imported,,
森森kids,tzm0069,森森kids童裝工作室,森森kids.png,pics/logo/tzm0069.webp,imported,,
植饗烤物,tzm0007,植饗烤物,植饗烤物.jpg,pics/logo/tzm0007.webp,imported,,
極食玩樂複合式餐飲桌遊,tzm0050,極食玩樂桌遊店,極食玩樂複合式餐飲桌遊.jpg,pics/logo/tzm0050.webp,imported,,
止癢癢,tzm0051,止癢² ๑專業掏耳｜皮膚管理,止癢癢.jpg,pics/logo/tzm0051.webp,imported,,
湘蠟過癮,tzm0025,湘蠟過癮美容工作室,湘蠟過癮.jpg,pics/logo/tzm0025.webp,imported,,
爪哇殿咖啡,tzm0056,爪哇殿咖啡,爪哇殿咖啡.jpg,pics/logo/tzm0056.webp,imported,,
玩巢公仔,tzm0062,玩巢公仔,玩巢公仔.jpg,pics/logo/tzm0062.webp,imported,,
瑞宇科技,tzm0040,瑞宇科技,瑞宇科技.jpg,pics/logo/tzm0040.webp,imported,,
畢茱爾醫美診所竹南旗艦店,tzm0072,畢茱爾醫美診所,畢茱爾醫美診所竹南旗艦店.jpg,pics/logo/tzm0072.webp,imported,,
磐龍科技,tzm0066,磐龍科技實業有限公司,磐龍科技.jpg,pics/logo/tzm0066.webp,imported,,
福利社-logo,,,福利社-logo.png,,skipped_not_in_shops,,未對應目前 shops.json 店家，未自動匯入
福梅烤雞 福梅竹藝山居,tzm0064,福梅烤雞,福梅烤雞 福梅竹藝山居.jpg,pics/logo/tzm0064.webp,imported,,
羊寶藝術教室,tzm0038,羊寶藝術教室,羊寶藝術教室.jpg,pics/logo/tzm0038.webp,imported,,
老黃窗簾設計．室內裝修,tzm0009,老黃窗簾設計．室內裝修．軟裝規劃,老黃窗簾設計．室內裝修.jpg,pics/logo/tzm0009.webp,imported,,
蔡宗熹個人小貨車貨行,tzm0060,蔡宗熹個人小貨車貨運行,蔡宗熹個人小貨車貨行.jpg,pics/logo/tzm0060.webp,imported,,
薩雅芳香,tzm0015,薩雅芳香療癒家,薩雅芳香.jpg,pics/logo/tzm0015.webp,imported,,
親蜜家優床館,tzm0018,親蜜家優床館,親蜜家優床館.jpg,pics/logo/tzm0018.webp,imported,,
貝拉小巴披薩 bella bus pizza,tzm0032,貝拉小巴披薩 bella bus pizza,貝拉小巴披薩 bella bus pizza.jpg,pics/logo/tzm0032.webp,imported,,
買樂購,tzm0002,買樂購,買樂購.png,pics/logo/tzm0002.webp,imported,,
采筑窗簾,tzm0046,采筑窗簾,采筑窗簾.png,pics/logo/tzm0046.webp,imported,,
雲朵森林x泳池咖啡,tzm0049,雲朵森林,雲朵森林x泳池咖啡.jpg,pics/logo/tzm0049.webp,imported,,
